Replay End State,taup,Ap,Max of ID
BiDRP,5.96,-0.02,1481
BiDRP,6.06,-0.31,1456
BiDRP,6.24,-0.22,1493
BiDRP,6.96,-0.01,1441
BiDRP,7.34,-0.24,1422
BiDRP,7.36,-0.10,1410
BiDRP,7.51,-0.10,1473
BiDRP,8.30,-0.01,1438
BiDRP,8.80,-0.03,1485
BiDRP,8.97,-0.04,1501
BiDRP,11.46,-0.01,1452
BiDRP,14.08,-0.03,1414
BiDRP,15.17,-0.02,1497
BiDRP,16.95,-0.04,1420
BiDRP,17.80,-0.02,1475
BiDRP,19.06,-0.04,1499
BiDRP,28.44,-0.02,1413
ZZ,9.93,-0.25,1440
ZZ,12.04,-0.10,1429
ZZ,12.92,-0.29,1417
ZZ,13.15,-0.11,1454
ZZ,13.51,-0.13,1427
ZZ,13.85,-0.13,1407
ZZ,15.20,-0.31,1404
ZZ,15.89,-0.09,1477
ZZ,18.31,-0.16,1467
ZZ,18.99,-0.14,1469
ZZ,19.31,-0.04,1496
ZZ,19.92,-0.07,1445
ZZ,20.45,-0.20,1428
ZZ,21.77,-0.07,1460
ZZ,21.78,-0.25,1426
ZZ,22.76,-0.03,1494
ZZ,22.78,-0.14,1408
ZZ,22.88,-0.05,1434
ZZ,24.93,-0.06,1459
ZZ,26.32,-0.02,1470
ZZ,26.86,-0.04,1431
ZZ,26.95,-0.03,1479
ZZ,28.01,-0.14,1466
ZZ,28.97,-0.07,1484
ZZ,29.20,-0.15,1425
ZZ,29.72,-0.12,1435
ZZ,29.76,-0.08,1442
