Replay End State,post_AuC,Max of ID,pre_AuC
1DRP,0.36,1293,0.43
BiDRP,0.33,1290,0.26
BiDRP,0.83,1308,0.89
Elm,0.05,1315,2.42
Elm,0.07,1317,0.75
Elm,0.07,1321,1.56
Elm,0.09,1291,1.05
Elm,0.23,1301,1.97
Elm,0.24,1296,5.16
Elm,0.25,1307,0.90
Elm,0.28,1311,2.63
Elm,0.29,1298,1.15
Elm,0.45,1292,1.55
Elm,0.46,1306,4.01
Elm,0.49,1330,1.48
Elm,0.52,1305,2.67
Elm,0.58,1303,1.68
Elm,0.66,1299,1.34
Elm,0.79,1313,2.39
Elm,0.88,1295,2.92
Elm,1.01,1324,1.74
Elm,1.13,1294,1.35
Elm,1.20,1302,3.37
Elm,1.23,1288,2.61
Elm,1.82,1289,4.34
Elm,1.89,1316,3.29
Elm,5.58,1304,5.83
RigAt,0.46,1326,0.07
RigAt,0.86,1327,0.63
RigAt,1.55,1323,0.90
RigAt,1.56,1332,0.23
RigAt,1.91,1309,0.32
RigAt,2.10,1314,1.94
RigAt,2.31,1328,1.83
RigAt,2.31,1331,2.32
RigAt,2.46,1297,1.34
RigAt,2.46,1329,1.37
RigAt,2.49,1322,2.11
RigAt,2.54,1333,0.41
RigAt,2.61,1325,1.43
RigAt,2.96,1320,0.75
RigAt,3.09,1334,2.42
RigAt,3.17,1300,0.79
RigAt,5.12,1312,0.78
RigAt,7.42,1310,5.51
ZZ,1.58,1318,1.53
ZZ,2.09,1319,1.88
