Replay End State,post_AuC,Max of ID,pre_AuC
1DRP,0.42,1275,0.39
1DRP,0.68,1238,0.49
1DRP,0.77,1253,0.61
1DRP,1.72,1287,1.01
Elm,0.64,1247,0.80
Elm,0.68,1250,0.42
Elm,0.77,1263,0.10
Elm,0.96,1246,0.94
Elm,1.00,1277,0.73
Elm,1.02,1258,0.45
Elm,1.32,1262,1.23
Elm,1.39,1284,0.56
Elm,1.41,1268,0.06
Elm,1.58,1245,0.32
Elm,1.77,1240,1.06
Elm,1.90,1248,0.40
Elm,2.04,1264,1.96
Elm,2.48,1281,1.52
Elm,2.89,1260,1.79
Elm,3.71,1266,1.44
Elm,3.72,1261,1.17
Elm,3.80,1243,0.82
Elm,4.04,1237,3.69
Elm,4.16,1276,2.28
Elm,4.16,1267,2.15
Elm,5.05,1255,3.03
Elm,5.22,1242,5.12
RigAt,0.04,1282,3.40
RigAt,0.06,1239,2.09
RigAt,0.32,1252,1.59
RigAt,0.43,1259,0.73
RigAt,0.46,1286,3.41
RigAt,0.48,1280,2.42
RigAt,0.65,1265,1.73
RigAt,0.71,1244,2.52
RigAt,0.92,1271,4.38
RigAt,0.97,1241,1.00
RigAt,1.16,1256,1.78
RigAt,1.23,1285,6.45
RigAt,1.32,1283,6.02
RigAt,1.49,1279,4.31
RigAt,1.66,1254,3.63
RigAt,1.79,1273,4.11
RigAt,1.84,1257,3.08
RigAt,1.97,1272,2.26
RigAt,2.37,1249,3.47
RigAt,2.60,1278,2.80
RigAt,2.93,1251,6.02
RigAt,2.96,1274,7.54
RigAt,3.64,1269,3.91
RigAt,3.98,1270,4.71
