Replay End State,taup,Ap,Max of ID
1DRP,5.27,0.22,1486
1DRP,6.42,0.15,1437
1DRP,6.55,0.04,1495
1DRP,6.82,0.11,1449
1DRP,7.57,0.05,1403
1DRP,7.77,0.16,1415
1DRP,7.80,0.07,1483
1DRP,8.05,0.20,1451
1DRP,8.66,0.13,1412
1DRP,8.91,0.29,1458
1DRP,9.82,0.07,1468
1DRP,10.88,0.10,1450
1DRP,11.04,0.04,1471
1DRP,11.99,0.07,1480
1DRP,12.70,0.07,1457
1DRP,12.91,0.03,1461
1DRP,14.38,0.02,1444
1DRP,14.83,0.01,1443
1DRP,16.61,0.04,1436
1DRP,21.07,0.10,1416
1DRP,21.20,0.08,1447
1DRP,25.51,0.03,1424
1DRP,27.10,0.05,1462
1DRP,27.62,0.06,1502
1DRP,27.79,0.03,1433
1DRP,29.66,0.03,1421
1DRP,29.89,0.06,1500
BiDRP,8.72,0.02,1446
BiDRP,15.32,0.03,1406
BiDRP,15.35,0.00,1489
BiDRP,22.18,0.00,1439
Elm,7.53,0.16,1478
Elm,8.17,0.17,1455
Elm,11.24,0.17,1464
Elm,11.73,0.15,1491
Elm,11.77,0.11,1476
Elm,16.17,0.13,1411
Elm,20.48,0.12,1405
Elm,20.72,0.04,1409
Elm,21.56,0.13,1492
Elm,24.22,0.09,1423
Elm,25.07,0.06,1490
Elm,25.23,0.02,1463
Elm,26.12,0.02,1482
Elm,27.51,0.07,1432
Elm,29.62,0.03,1453
Elm,29.70,0.02,1488
Elm,29.79,0.03,1472
RigAt,12.24,0.27,1465
RigAt,12.38,0.26,1430
RigAt,13.14,0.19,1474
RigAt,20.85,0.26,1448
RigAt,22.77,0.23,1487
RigAt,24.69,0.29,1419
RigAt,25.32,0.15,1498
RigAt,28.68,0.14,1418
