Replay End State,taup,Ap,Max of ID
1DRP,7.42,0.00,1521
1DRP,23.53,0.00,1511
RigAt,6.38,0.19,1523
RigAt,8.88,0.04,1541
RigAt,9.06,0.14,1522
RigAt,9.46,0.23,1539
RigAt,9.98,0.20,1519
RigAt,11.30,0.11,1529
RigAt,11.79,0.03,1534
RigAt,12.24,0.03,1507
RigAt,14.34,0.28,1554
RigAt,14.99,0.16,1546
RigAt,15.54,0.07,1527
RigAt,16.89,0.08,1520
RigAt,17.02,0.01,1518
RigAt,19.85,0.07,1533
RigAt,21.13,0.23,1535
RigAt,21.68,0.02,1547
RigAt,22.26,0.03,1510
RigAt,22.39,0.02,1536
RigAt,24.68,0.04,1517
RigAt,25.80,0.12,1505
RigAt,27.25,0.04,1544
RigAt,27.33,0.14,1542
RigAt,27.40,0.02,1549
RigAt,27.87,0.11,1514
RigAt,29.14,0.11,1506
RigAt,29.24,0.06,1550
ZZ,9.58,0.01,1524
